user_id,item_id,timestamp,clicked,converted,recommendation_rank,user_type,product_category,recommendation_cost,conversion_value,group
38,218,2024-01-01 00:00:00,0,0,5,new,clothing,0.22,74.67,control
236,315,2024-01-01 00:01:00,0,0,2,returning,books,0.32,75.41,control
909,60,2024-01-01 00:02:00,1,0,7,returning,electronics,0.34,21.97,treatment
73,136,2024-01-01 00:03:00,1,0,9,new,books,0.26,87.08,control
768,455,2024-01-01 00:04:00,0,0,5,returning,electronics,0.09,83.03,treatment
906,455,2024-01-01 00:05:00,0,0,1,returning,clothing,0.17,63.44,control
716,50,2024-01-01 00:06:00,0,0,8,returning,clothing,0.11,47.9,control
646,116,2024-01-01 00:07:00,0,0,3,new,electronics,0.33,71.16,control
848,397,2024-01-01 00:08:00,1,0,7,returning,electronics,0.11,24.99,treatment
961,132,2024-01-01 00:09:00,1,0,10,returning,electronics,0.46,72.73,treatment
145,82,2024-01-01 00:10:00,0,0,9,returning,electronics,0.34,50.36,control
130,3,2024-01-01 00:11:00,1,0,9,new,books,0.1,42.12,treatment
973,298,2024-01-01 00:12:00,0,0,3,new,clothing,0.24,35.39,control
584,171,2024-01-01 00:13:00,0,0,10,returning,electronics,0.39,21.57,treatment
750,275,2024-01-01 00:14:00,0,0,2,returning,clothing,0.43,49.43,control
509,490,2024-01-01 00:15:00,0,0,2,returning,books,0.11,96.26,treatment
391,164,2024-01-01 00:16:00,0,0,1,returning,electronics,0.44,5.96,treatment
282,64,2024-01-01 00:17:00,0,0,9,returning,books,0.2,53.26,treatment
179,107,2024-01-01 00:18:00,0,0,1,returning,clothing,0.35,26.95,treatment
277,60,2024-01-01 00:19:00,0,1,4,new,electronics,0.48,68.84,control
255,417,2024-01-01 00:20:00,0,0,5,returning,electronics,0.2,67.52,control
358,478,2024-01-01 00:21:00,1,0,2,returning,books,0.16,31.6,treatment
915,442,2024-01-01 00:22:00,0,0,7,new,books,0.14,58.83,treatment
469,28,2024-01-01 00:23:00,0,0,6,returning,electronics,0.35,66.31,treatment
908,241,2024-01-01 00:24:00,0,0,10,returning,books,0.07,34.01,control
253,333,2024-01-01 00:25:00,0,0,6,new,clothing,0.43,27.57,control
491,473,2024-01-01 00:26:00,1,0,5,returning,clothing,0.36,51.04,control
669,392,2024-01-01 00:27:00,0,1,9,new,clothing,0.46,40.51,treatment
926,390,2024-01-01 00:28:00,0,0,7,new,books,0.39,42.1,control
399,88,2024-01-01 00:29:00,0,0,1,new,electronics,0.19,62.11,treatment
563,427,2024-01-01 00:30:00,1,0,1,new,clothing,0.09,11.49,control
581,321,2024-01-01 00:31:00,0,0,4,returning,books,0.15,48.4,control
216,206,2024-01-01 00:32:00,0,0,3,returning,electronics,0.34,41.77,treatment
984,458,2024-01-01 00:33:00,1,0,1,returning,books,0.47,71.33,control
754,375,2024-01-01 00:34:00,0,0,1,new,books,0.07,38.68,treatment
504,46,2024-01-01 00:35:00,0,0,5,returning,electronics,0.06,76.02,control
479,388,2024-01-01 00:36:00,0,0,4,returning,clothing,0.48,81.56,control
865,198,2024-01-01 00:37:00,0,0,9,new,books,0.1,33.97,control
87,461,2024-01-01 00:38:00,0,0,9,returning,clothing,0.24,26.8,treatment
142,353,2024-01-01 00:39:00,0,0,3,new,electronics,0.13,69.45,control
394,355,2024-01-01 00:40:00,0,0,6,returning,electronics,0.33,27.67,treatment
8,155,2024-01-01 00:41:00,0,1,2,new,clothing,0.29,80.99,treatment
320,438,2024-01-01 00:42:00,0,0,10,returning,electronics,0.13,50.44,control
830,377,2024-01-01 00:43:00,1,0,5,returning,clothing,0.24,23.7,treatment
535,206,2024-01-01 00:44:00,0,0,9,returning,clothing,0.42,72.13,treatment
314,392,2024-01-01 00:45:00,1,0,6,new,electronics,0.26,95.69,treatment
514,415,2024-01-01 00:46:00,0,0,2,new,electronics,0.3,14.77,treatment
897,449,2024-01-01 00:47:00,0,0,1,returning,clothing,0.37,76.89,treatment
317,455,2024-01-01 00:48:00,0,0,3,returning,electronics,0.26,45.02,treatment
210,328,2024-01-01 00:49:00,0,0,10,new,books,0.37,84.61,treatment
265,23,2024-01-01 00:50:00,0,0,8,new,books,0.29,29.07,treatment
729,245,2024-01-01 00:51:00,0,0,8,returning,electronics,0.29,17.28,control
654,432,2024-01-01 00:52:00,1,0,7,new,electronics,0.28,56.79,treatment
628,321,2024-01-01 00:53:00,0,0,5,new,books,0.48,15.17,control
432,92,2024-01-01 00:54:00,0,1,5,new,electronics,0.45,64.56,control
634,225,2024-01-01 00:55:00,0,0,7,returning,electronics,0.36,87.21,control
457,226,2024-01-01 00:56:00,1,0,2,returning,electronics,0.09,36.58,treatment
543,459,2024-01-01 00:57:00,0,0,1,new,clothing,0.08,11.8,control
72,164,2024-01-01 00:58:00,0,0,6,new,clothing,0.27,55.96,treatment
388,394,2024-01-01 00:59:00,0,0,2,returning,clothing,0.19,52.22,treatment
455,422,2024-01-01 01:00:00,0,0,2,returning,clothing,0.39,42.81,control
918,138,2024-01-01 01:01:00,1,0,5,returning,books,0.31,94.35,control
562,498,2024-01-01 01:02:00,0,0,5,returning,clothing,0.21,70.65,control
314,432,2024-01-01 01:03:00,0,0,3,returning,clothing,0.24,77.43,treatment
516,30,2024-01-01 01:04:00,0,0,3,returning,electronics,0.1,88.23,treatment
965,256,2024-01-01 01:05:00,0,0,9,returning,books,0.38,64.11,control
793,367,2024-01-01 01:06:00,1,0,7,returning,electronics,0.05,63.08,treatment
498,153,2024-01-01 01:07:00,0,1,7,returning,books,0.3,32.54,control
44,63,2024-01-01 01:08:00,0,0,3,new,clothing,0.3,91.9,treatment
589,266,2024-01-01 01:09:00,0,0,5,new,clothing,0.41,77.91,control
27,475,2024-01-01 01:10:00,1,0,1,new,books,0.21,64.65,treatment
821,454,2024-01-01 01:11:00,0,0,4,returning,electronics,0.08,40.48,control
337,311,2024-01-01 01:12:00,0,0,2,new,books,0.31,35.58,control
622,177,2024-01-01 01:13:00,0,0,4,returning,books,0.46,37.58,treatment
884,55,2024-01-01 01:14:00,0,0,3,returning,electronics,0.45,85.72,control
298,469,2024-01-01 01:15:00,0,0,5,new,electronics,0.24,74.77,treatment
467,38,2024-01-01 01:16:00,0,0,3,returning,clothing,0.35,20.17,treatment
16,2,2024-01-01 01:17:00,0,0,2,new,electronics,0.06,76.93,control
65,49,2024-01-01 01:18:00,0,0,1,new,clothing,0.42,84.47,control
197,353,2024-01-01 01:19:00,0,0,7,returning,electronics,0.14,50.91,control
26,267,2024-01-01 01:20:00,0,0,5,returning,electronics,0.2,8.23,treatment
368,411,2024-01-01 01:21:00,0,0,3,new,electronics,0.24,31.55,control
739,280,2024-01-01 01:22:00,1,0,3,returning,electronics,0.09,48.24,treatment
472,231,2024-01-01 01:23:00,0,0,2,new,books,0.47,98.69,treatment
904,452,2024-01-01 01:24:00,0,0,9,new,electronics,0.18,67.01,control
